MeSH Symptom Term,MeSH Disease Term,PubMed occurrence,TFIDF score
Necrolytic Migratory Erythema,Necrolytic Migratory Erythema,4,24.60051533915248
Necrolytic Migratory Erythema,Glucagonoma,3,18.45038650436436
Necrolytic Migratory Erythema,Pancreatic Neoplasms,3,18.45038650436436
Necrolytic Migratory Erythema,Neuroendocrine Tumors,1,6.150128834788118
Necrolytic Migratory Erythema,"Neoplasms, Unknown Primary",1,6.150128834788118
Necrolytic Migratory Erythema,"Diabetes Mellitus, Type 2",1,6.150128834788118
Necrolytic Migratory Erythema,Diabetes Mellitus,1,6.150128834788118
Necrolytic Migratory Erythema,Liver Cirrhosis,1,6.150128834788118
Necrolytic Migratory Erythema,"Skin Diseases, Vesiculobullous",1,6.150128834788118
Hearing Loss,Hearing Loss,3762,3022.9571488710835
Hearing Loss,"Hearing Loss, Conductive",323,259.54682591317385
Hearing Loss,"Hearing Loss, Bilateral",203,163.12076055843434
Hearing Loss,"Hearing Loss, Sensorineural",199,159.90655837994302
Hearing Loss,Deafness,155,124.55033441653852
Hearing Loss,Tinnitus,125,100.44381807785366
Hearing Loss,"Hearing Loss, High-Frequency",118,94.81896426549385
Hearing Loss,"Neuroma, Acoustic",104,83.56925664077423
Hearing Loss,Otitis Media,101,81.15860500690576
Hearing Loss,Otitis Media with Effusion,91,73.12309956067745
Hearing Loss,Meniere Disease,85,68.30179629294051
Hearing Loss,"Abnormalities, Multiple",67,53.83788648972957
Hearing Loss,Dizziness,60,48.213032677369746
Hearing Loss,"Hearing Loss, Noise-Induced",58,46.6059315881241
Hearing Loss,Vertigo,52,41.784628320387114
Hypoventilation,Hypoventilation,635,1601.059348512369
Hypoventilation,Respiratory Insufficiency,172,433.6727684159488
Hypoventilation,Obesity,94,237.00721064592548
Hypoventilation,Sleep Apnea Syndromes,78,196.6655577700233
Hypoventilation,Sleep Disorders,44,110.93954540873108
Hypoventilation,Neuromuscular Diseases,33,83.20465905654831
Hypoventilation,Hyperventilation,33,83.20465905654831
Hypoventilation,Lung Diseases,31,78.16195244706054
Hypoventilation,Apnea,31,78.16195244706054
Hypoventilation,Obesity Hypoventilation Syndrome,30,75.64059914231666
Hypoventilation,"Lung Diseases, Obstructive",29,73.11924583757276
Hypoventilation,"Sleep Apnea, Obstructive",25,63.03383261859721
Hypoventilation,Pulmonary Heart Disease,25,63.03383261859721
Hypoventilation,Alkalosis,22,55.46977270436554
Hypoventilation,Airway Obstruction,21,52.948419399621656
Chills,Bacteremia,4,14.340717909306333
Chills,Melanoma,3,10.75553843197975
Chills,Common Cold,3,10.75553843197975
Chills,"Purpura, Thrombocytopenic, Idiopathic",2,7.1703589546531665
Chills,"Leukemia, Lymphocytic, Chronic, B-Cell",2,7.1703589546531665
Chills,Psoriasis,2,7.1703589546531665
Chills,"Malaria, Vivax",2,7.1703589546531665
Chills,Malaria,2,7.1703589546531665
Chills,Postoperative Complications,2,7.1703589546531665
Chills,Hypotension,2,7.1703589546531665
Chills,Urinary Tract Infections,2,7.1703589546531665
Chills,Sepsis,2,7.1703589546531665
Chills,Kidney Neoplasms,2,7.1703589546531665
Chills,Fabry Disease,2,7.1703589546531665
Chills,"Tuberculosis, Pleural",1,3.5851794773265833
Unconsciousness,Unconsciousness,1034,959.5239053986386
Unconsciousness,Brain Injuries,253,234.7771257890286
Unconsciousness,Craniocerebral Trauma,161,149.4036255021091
Unconsciousness,Epilepsy,66,61.24620672757268
Unconsciousness,Brain Diseases,62,57.5343154107501
Unconsciousness,Seizures,57,52.89445126472186
Unconsciousness,Syncope,54,50.11053277710492
Unconsciousness,Brain Concussion,53,49.18255994789927
Unconsciousness,Coma,52,48.25458711869362
Unconsciousness,Subarachnoid Hemorrhage,40,37.118913168225866
Unconsciousness,Poisoning,35,32.47904902219763
Unconsciousness,Cerebral Hemorrhage,34,31.551076192991985
Unconsciousness,Heart Arrest,34,31.551076192991985
Unconsciousness,Skull Fractures,33,30.62310336378634
Unconsciousness,Cerebrovascular Disorders,31,28.76715770537505
"Gait Disorders, Neurologic","Gait Disorders, Neurologic",1285,2242.0236931164773
"Gait Disorders, Neurologic",Parkinson Disease,233,406.5303661448554
"Gait Disorders, Neurologic",Cerebral Infarction,145,252.9910003905753
"Gait Disorders, Neurologic",Stroke,144,251.2462348706403
"Gait Disorders, Neurologic",Cerebral Palsy,139,242.52240727096532
"Gait Disorders, Neurologic",Spinal Cord Injuries,87,151.79460023434518
"Gait Disorders, Neurologic",Muscle Weakness,72,125.62311743532015
"Gait Disorders, Neurologic","Hydrocephalus, Normal Pressure",56,97.70686911636012
"Gait Disorders, Neurologic",Cognition Disorders,45,78.51444839707509
"Gait Disorders, Neurologic",Paresis,45,78.51444839707509
"Gait Disorders, Neurologic",Dementia,44,76.76968287714007
"Gait Disorders, Neurologic",Parkinsonian Disorders,41,71.53538631733508
"Gait Disorders, Neurologic",Movement Disorders,39,68.04585527746508
"Gait Disorders, Neurologic",Peripheral Nervous System Diseases,30,52.34296559805006
"Gait Disorders, Neurologic",Muscle Spasticity,29,50.59820007811506
Angina Pectoris,Angina Pectoris,14679,21323.939227729094
Angina Pectoris,Coronary Artery Disease,5498,7986.853183054333
Angina Pectoris,Coronary Disease,4776,6938.015787971534
Angina Pectoris,Myocardial Infarction,2890,4198.254947076577
Angina Pectoris,Myocardial Ischemia,1583,2299.597778969627
Angina Pectoris,"Angina, Unstable",815,1183.9369487430486
Angina Pectoris,Hypertension,525,762.6587706627
Angina Pectoris,Coronary Vasospasm,435,631.9172671205229
Angina Pectoris,"Angina Pectoris, Variant",379,550.5669982498349
Angina Pectoris,"Arrhythmias, Cardiac",321,466.31136263376516
Angina Pectoris,Heart Diseases,316,459.0479457703109
Angina Pectoris,Coronary Vessel Anomalies,252,366.076209918096
Angina Pectoris,Coronary Stenosis,247,358.8127930546417
Angina Pectoris,Heart Failure,227,329.75912560082463
Angina Pectoris,Pain,204,296.34740802893486
Snoring,Sleep Apnea Syndromes,730,2014.876470218585
Snoring,"Sleep Apnea, Obstructive",544,1501.4969860259046
Snoring,Sleep Disorders,80,220.80838029792716
Snoring,Airway Obstruction,73,201.4876470218585
Snoring,Hypertension,47,129.7249234250322
Snoring,Nasal Obstruction,43,118.68450441013584
Snoring,Disorders of Excessive Somnolence,40,110.40419014896356
Snoring,Obesity,33,91.08345687289494
Snoring,Postoperative Complications,22,60.72230458192996
Snoring,Respiration Disorders,20,55.20209507448178
Snoring,Cognition Disorders,17,46.92178081330951
Snoring,Asthma,17,46.92178081330951
Snoring,Malocclusion,15,41.401571305861346
Snoring,Cerebrovascular Disorders,15,41.401571305861346
Snoring,Cerebral Infarction,14,38.64146655213725
"Pain, Intractable","Pain, Intractable",3331,6638.627609890198
"Pain, Intractable",Pain,251,500.23882620307404
"Pain, Intractable",Bone Neoplasms,152,302.93347244170224
"Pain, Intractable",Neuralgia,69,137.51585262156215
"Pain, Intractable",Pancreatic Neoplasms,51,101.64215193767642
"Pain, Intractable",Lung Neoplasms,49,97.65618519502243
"Pain, Intractable","Pain, Postoperative",48,95.66320182369543
"Pain, Intractable",Breast Neoplasms,43,85.69828496706047
"Pain, Intractable",Peripheral Nervous System Diseases,43,85.69828496706047
"Pain, Intractable",Prostatic Neoplasms,42,83.7053015957335
"Pain, Intractable",Back Pain,41,81.71231822440652
"Pain, Intractable",Depressive Disorder,38,75.73336811042556
"Pain, Intractable",Spinal Cord Injuries,35,69.7544179964446
"Pain, Intractable",Low Back Pain,34,67.7614346251176
"Pain, Intractable",Head and Neck Neoplasms,33,65.76845125379062
Alien Hand Syndrome,Alien Hand Syndrome,7,39.4751224771549
Alien Hand Syndrome,Seizures,1,5.6393032110221295
Alien Hand Syndrome,Tauopathies,1,5.6393032110221295
Alien Hand Syndrome,Neurodegenerative Diseases,1,5.6393032110221295
Alien Hand Syndrome,Movement Disorders,1,5.6393032110221295
Alien Hand Syndrome,Dementia,1,5.6393032110221295
Alien Hand Syndrome,Facial Hemiatrophy,1,5.6393032110221295
Alien Hand Syndrome,Cerebral Hemorrhage,1,5.6393032110221295
Alien Hand Syndrome,Cerebral Infarction,1,5.6393032110221295
Alien Hand Syndrome,Brain Infarction,1,5.6393032110221295
Alien Hand Syndrome,Brain Ischemia,1,5.6393032110221295
Alien Hand Syndrome,"Brain Damage, Chronic",1,5.6393032110221295
Alien Hand Syndrome,Brain Diseases,1,5.6393032110221295
Alien Hand Syndrome,"Histiocytosis, Langerhans-Cell",1,5.6393032110221295
Alien Hand Syndrome,Stroke,1,5.6393032110221295
Vision Disorders,Vision Disorders,9199,6103.439283752896
Vision Disorders,"Glaucoma, Open-Angle",568,376.86199730097235
Vision Disorders,Optic Nerve Diseases,532,352.9763777537277
Vision Disorders,Glaucoma,516,342.3605468438411
Vision Disorders,Retinal Diseases,469,311.1765435460493
Vision Disorders,Pituitary Neoplasms,339,224.92291740322116
Vision Disorders,Brain Diseases,243,161.2279319439019
Vision Disorders,Cataract,226,149.94861160214745
Vision Disorders,Macular Degeneration,216,143.31371728346838
Vision Disorders,Optic Neuritis,202,134.02486523731764
Vision Disorders,Brain Neoplasms,191,126.72648148677065
Vision Disorders,Multiple Sclerosis,181,120.09158716809156
Vision Disorders,Giant Cell Arteritis,179,118.76460830435572
Vision Disorders,Pseudotumor Cerebri,153,101.51388307579008
Vision Disorders,Diabetic Retinopathy,148,98.19643591645054
Piriformis Muscle Syndrome,Piriformis Muscle Syndrome,11,68.94703057488954
Piriformis Muscle Syndrome,Sciatica,6,37.607471222667016
Piriformis Muscle Syndrome,Intervertebral Disk Displacement,1,6.267911870444503
Piriformis Muscle Syndrome,Nerve Compression Syndromes,1,6.267911870444503
Piriformis Muscle Syndrome,Tarsal Tunnel Syndrome,1,6.267911870444503
Piriformis Muscle Syndrome,Low Back Pain,1,6.267911870444503
Piriformis Muscle Syndrome,Leg Length Inequality,1,6.267911870444503
Piriformis Muscle Syndrome,"Lymphoma, Large B-Cell, Diffuse",1,6.267911870444503
Paralysis,Paralysis,6135,2972.231900857275
Paralysis,Spinal Cord Injuries,355,171.98733900641116
Paralysis,Peripheral Nervous System Diseases,316,153.09295528458009
Paralysis,Hypokalemia,276,133.71410018526615
Paralysis,Nerve Compression Syndromes,232,112.39735957602082
Paralysis,Poliomyelitis,221,107.0681744237095
Paralysis,Cranial Nerve Diseases,213,103.1924034038467
Paralysis,Spinal Cord Diseases,184,89.1427334568441
Paralysis,Postoperative Complications,153,74.12412075487579
Paralysis,Muscular Diseases,136,65.88810733766738
Paralysis,Hyperthyroidism,134,64.91916458270168
Paralysis,Cerebral Infarction,125,60.558922185356046
Paralysis,Cerebrovascular Disorders,123,59.58997943039035
Paralysis,Muscular Atrophy,117,56.68315116549326
Paralysis,Brain Diseases,109,52.80738014563047
"Hearing Loss, Sudden","Hearing Loss, Sudden",1102,2849.002836337266
"Hearing Loss, Sudden","Hearing Loss, Sensorineural",290,749.7375885098069
"Hearing Loss, Sudden",Meniere Disease,75,193.8976522008121
"Hearing Loss, Sudden",Labyrinth Diseases,51,131.85040349655225
"Hearing Loss, Sudden",Tinnitus,39,100.8267791444223
"Hearing Loss, Sudden",Vertigo,37,95.656175085734
"Hearing Loss, Sudden",Dizziness,37,95.656175085734
"Hearing Loss, Sudden","Neuroma, Acoustic",36,93.07087305638984
"Hearing Loss, Sudden",Deafness,34,87.90026899770149
"Hearing Loss, Sudden","Hearing Loss, Bilateral",31,80.14436290966901
"Hearing Loss, Sudden",Autoimmune Diseases,30,77.55906088032484
"Hearing Loss, Sudden",Hearing Loss,29,74.97375885098069
"Hearing Loss, Sudden",Fistula,24,62.04724870425989
"Hearing Loss, Sudden",Vestibular Diseases,17,43.950134498850744
"Hearing Loss, Sudden",Parotitis,16,41.364832469506595
Hypokinesia,Hypokinesia,478,1376.3021835328416
Hypokinesia,Parkinson Disease,203,584.4965340108091
Hypokinesia,Parkinsonian Disorders,32,92.13738467165464
Hypokinesia,Huntington Disease,23,66.22374523275178
Hypokinesia,Tremor,19,54.706572148794955
Hypokinesia,Movement Disorders,16,46.06869233582732
Hypokinesia,Cognition Disorders,13,37.430812522859696
Hypokinesia,Dementia,13,37.430812522859696
Hypokinesia,"Gait Disorders, Neurologic",13,37.430812522859696
Hypokinesia,Muscle Rigidity,12,34.55151925187049
Hypokinesia,Basal Ganglia Diseases,11,31.672225980881286
Hypokinesia,Alzheimer Disease,8,23.03434616791366
Hypokinesia,"Dyskinesia, Drug-Induced",7,20.15505289692445
Hypokinesia,"Ventricular Dysfunction, Left",7,20.15505289692445
Hypokinesia,Arthrogryposis,6,17.275759625935244
Gagging,Deglutition Disorders,36,134.36038423019085
Gagging,Cerebral Infarction,10,37.322328952830794
Gagging,Stroke,9,33.59009605754771
Gagging,Gastroesophageal Reflux,7,26.12563026698156
Gagging,"Pneumonia, Aspiration",7,26.12563026698156
Gagging,Airway Obstruction,6,22.39339737169848
Gagging,Cerebrovascular Disorders,5,18.661164476415397
Gagging,Temporomandibular Joint Disorders,5,18.661164476415397
Gagging,Eating Disorders,4,14.92893158113232
Gagging,Cough,3,11.196698685849237
Gagging,"Reflex, Abnormal",3,11.196698685849237
Gagging,Respiratory Aspiration,3,11.196698685849237
Gagging,Asthma,3,11.196698685849237
Gagging,Poisoning,3,11.196698685849237
Gagging,Foreign Bodies,3,11.196698685849237
"Hearing Loss, Unilateral","Hearing Loss, Unilateral",130,466.07333205245584
"Hearing Loss, Unilateral","Hearing Loss, Sensorineural",38,136.23682013841014
"Hearing Loss, Unilateral","Hearing Loss, Sudden",18,64.53323059187849
"Hearing Loss, Unilateral","Hearing Loss, Bilateral",14,50.19251268257216
"Hearing Loss, Unilateral","Neuroma, Acoustic",10,35.85179477326583
"Hearing Loss, Unilateral","Hearing Loss, Conductive",10,35.85179477326583
"Hearing Loss, Unilateral",Meniere Disease,7,25.09625634128608
"Hearing Loss, Unilateral",Deafness,7,25.09625634128608
"Hearing Loss, Unilateral",Hearing Loss,6,21.511076863959495
"Hearing Loss, Unilateral",Ear Neoplasms,5,17.925897386632915
"Hearing Loss, Unilateral",Tinnitus,4,14.340717909306333
"Hearing Loss, Unilateral","Hearing Loss, Noise-Induced",4,14.340717909306333
"Hearing Loss, Unilateral",Endolymphatic Hydrops,4,14.340717909306333
"Hearing Loss, Unilateral","Neoplasms, Multiple Primary",3,10.75553843197975
"Hearing Loss, Unilateral",Craniocerebral Trauma,3,10.75553843197975
Psychomotor Agitation,Psychomotor Agitation,1340,3005.030640810533
Psychomotor Agitation,Dementia,598,1341.0509874661932
Psychomotor Agitation,Alzheimer Disease,253,567.3677254664664
Psychomotor Agitation,Psychotic Disorders,162,363.2947491129152
Psychomotor Agitation,Schizophrenia,123,275.83490210425043
Psychomotor Agitation,Depressive Disorder,99,222.01345779122602
Psychomotor Agitation,Bipolar Disorder,84,188.37505509558568
Psychomotor Agitation,Delirium,70,156.9792125796547
Psychomotor Agitation,Brain Injuries,62,139.0387311419799
Psychomotor Agitation,Cognition Disorders,56,125.58337006372378
Psychomotor Agitation,"Depressive Disorder, Major",44,98.67264790721156
Psychomotor Agitation,Pain,38,85.21728682895542
Psychomotor Agitation,Confusion,35,78.48960628982735
Psychomotor Agitation,Attention Deficit Disorder with Hyperactivity,33,74.00448593040866
Psychomotor Agitation,Substance Withdrawal Syndrome,33,74.00448593040866
Overweight,Obesity,1475,1215.2113468374907
Overweight,"Diabetes Mellitus, Type 2",176,145.00148952094804
Overweight,Metabolic Syndrome X,132,108.75111714071105
Overweight,Hypertension,114,93.92141934879591
Overweight,Polycystic Ovary Syndrome,75,61.7904074663131
Overweight,Eating Disorders,38,31.307139782931966
Overweight,Inflammation,36,29.659395583830282
Overweight,Fatty Liver,35,28.83552348427944
Overweight,Glucose Intolerance,30,24.716162986525234
Overweight,Asthma,30,24.716162986525234
Overweight,Coronary Artery Disease,30,24.716162986525234
Overweight,Breast Neoplasms,29,23.892290886974397
Overweight,"Diabetes Mellitus, Type 1",28,23.068418787423553
Overweight,Pregnancy Complications,28,23.068418787423553
Overweight,Diabetes Mellitus,26,21.420674588321873
Colic,Kidney Diseases,525,1120.7423410957304
Colic,Ureteral Calculi,133,283.9213930775851
Colic,Ureteral Diseases,121,258.3044252811112
Colic,Biliary Tract Diseases,116,247.63068869924714
Colic,Kidney Calculi,105,224.14846821914608
Colic,Gallstones,104,222.0137209027733
Colic,Cholelithiasis,88,187.85776384080813
Colic,Ureteral Obstruction,63,134.48908093148765
Colic,Urinary Calculi,57,121.68059703325072
Colic,Intestinal Diseases,50,106.737365818641
Colic,Gastrointestinal Diseases,47,100.33312386952255
Colic,Pain,44,93.92888192040407
Colic,Lead Poisoning,28,59.77292485843896
Colic,Food Hypersensitivity,27,57.638177542066146
Colic,Urologic Diseases,27,57.638177542066146
Heart Murmurs,Mitral Valve Insufficiency,132,311.97106134970363
Heart Murmurs,Heart Diseases,130,307.2442270868293
Heart Murmurs,"Heart Defects, Congenital",98,231.61487888084054
Heart Murmurs,Heart Valve Diseases,94,222.16121035509198
Heart Murmurs,Neurocirculatory Asthenia,80,189.07337051497188
Heart Murmurs,Mitral Valve Prolapse,79,186.70995338353472
Heart Murmurs,Aortic Valve Stenosis,71,167.80261633203753
Heart Murmurs,Mitral Valve Stenosis,69,163.07578206916324
Heart Murmurs,"Cardiomyopathy, Hypertrophic",68,160.7123649377261
Heart Murmurs,Aortic Valve Insufficiency,65,153.62211354341466
Heart Murmurs,"Endocarditis, Bacterial",63,148.89527928054036
Heart Murmurs,Coronary Vessel Anomalies,51,120.53427370329456
Heart Murmurs,"Heart Septal Defects, Ventricular",44,103.99035378323453
Heart Murmurs,"Ductus Arteriosus, Patent",44,103.99035378323453
Heart Murmurs,Myocardial Infarction,43,101.62693665179737
Ageusia,Ageusia,122,437.39189623384317
Ageusia,Taste Disorders,45,161.33307647969622
Ageusia,Olfaction Disorders,42,150.57753804771647
Ageusia,Multiple Sclerosis,9,32.26661529593925
Ageusia,Dysgeusia,8,28.681435818612666
Ageusia,Postoperative Complications,4,14.340717909306333
Ageusia,Xerostomia,3,10.75553843197975
Ageusia,Mouth Diseases,3,10.75553843197975
Ageusia,Cranial Nerve Diseases,2,7.1703589546531665
Ageusia,"Arthritis, Rheumatoid",2,7.1703589546531665
Ageusia,Obesity,2,7.1703589546531665
Ageusia,Giant Cell Arteritis,2,7.1703589546531665
Ageusia,"Influenza, Human",2,7.1703589546531665
Ageusia,Facial Paralysis,2,7.1703589546531665
Ageusia,Melkersson-Rosenthal Syndrome,2,7.1703589546531665
Low Back Pain,Low Back Pain,6391,10164.380757205534
Low Back Pain,Intervertebral Disk Displacement,454,722.0511443860605
Low Back Pain,Spinal Diseases,305,485.07841197741953
Low Back Pain,Pain,244,388.0627295819356
Low Back Pain,Sciatica,198,314.9033625296035
Low Back Pain,Radiculopathy,151,240.15357445439457
Low Back Pain,Spinal Stenosis,102,162.2229443334321
Low Back Pain,Spinal Neoplasms,91,144.72831308178746
Low Back Pain,Pregnancy Complications,90,143.1378920589107
Low Back Pain,Neck Pain,89,141.5474710360339
Low Back Pain,Spinal Fractures,75,119.28157671575887
Low Back Pain,Postoperative Complications,67,106.55820853274462
Low Back Pain,Spondylolisthesis,64,101.78694546411423
Low Back Pain,Discitis,62,98.60610341836069
Low Back Pain,Athletic Injuries,62,98.60610341836069
Neurologic Manifestations,Brain Diseases,190,13.288868503313534
Neurologic Manifestations,Neurologic Manifestations,154,10.770977629001496
Neurologic Manifestations,Brain Neoplasms,141,9.86173925772215
Neurologic Manifestations,Cerebrovascular Disorders,141,9.86173925772215
Neurologic Manifestations,Brain Injuries,84,5.875078706728088
Neurologic Manifestations,Central Nervous System Diseases,70,4.895898922273407
Neurologic Manifestations,"Lupus Erythematosus, Systemic",67,4.686074682747403
Neurologic Manifestations,Porphyrias,62,4.336367616870732
Neurologic Manifestations,Craniocerebral Trauma,58,4.056601964169394
Neurologic Manifestations,Multiple Sclerosis,53,3.7068948982927217
Neurologic Manifestations,Meningitis,51,3.5670120719420533
Neurologic Manifestations,Peripheral Nervous System Diseases,51,3.5670120719420533
Neurologic Manifestations,Spinal Cord Diseases,50,3.4970706587667184
Neurologic Manifestations,Encephalitis,50,3.4970706587667184
Neurologic Manifestations,"Infant, Newborn, Diseases",46,3.2173050060653816
Dysarthria,Dysarthria,810,1641.5339454777427
Dysarthria,Speech Disorders,224,453.95506640372145
Dysarthria,Cerebral Infarction,110,222.9243629661132
Dysarthria,Parkinson Disease,109,220.89777784823943
Dysarthria,Aphasia,60,121.59510707242538
Dysarthria,Deglutition Disorders,56,113.48876660093036
Dysarthria,Brain Injuries,53,107.4090112473091
Dysarthria,Ataxia,51,103.35584101156158
Dysarthria,Amyotrophic Lateral Sclerosis,50,101.32925589368782
Dysarthria,Cerebral Palsy,43,87.1431600685715
Dysarthria,Apraxias,40,81.06340471495025
Dysarthria,Cerebrovascular Disorders,37,74.98364936132899
Dysarthria,Voice Disorders,36,72.95706424345524
Dysarthria,Cerebellar Diseases,34,68.90389400770772
Dysarthria,Cerebellar Ataxia,29,58.77096841833894
Learning Disorders,Learning Disorders,6072,10536.816754912452
Learning Disorders,Child Behavior Disorders,647,1122.7471081074366
Learning Disorders,Attention Deficit Disorder with Hyperactivity,508,881.5386876639534
Learning Disorders,Memory Disorders,399,692.3896385392075
Learning Disorders,Cognition Disorders,328,569.182459751529
Learning Disorders,Dyslexia,275,477.21090375509283
Learning Disorders,Mental Retardation,269,466.79902949134544
Learning Disorders,Developmental Disabilities,236,409.53372104073424
Learning Disorders,"Brain Damage, Chronic",214,371.3568487403268
Learning Disorders,Epilepsy,187,324.5034145534632
Learning Disorders,Language Disorders,145,251.62029470723078
Learning Disorders,Language Development Disorders,137,237.73779568890083
Learning Disorders,"Delirium, Dementia, Amnestic, Cognitive Disorders",134,232.53185855702708
Learning Disorders,Autistic Disorder,126,218.6493595386971
Learning Disorders,Brain Injuries,92,159.6487387107947
Hydrops Fetalis,Hydrops Fetalis,997,2333.977251765038
Hydrops Fetalis,Fetal Diseases,271,634.4110684336263
Hydrops Fetalis,Parvoviridae Infections,129,301.98903257541616
Hydrops Fetalis,"Pregnancy Complications, Infectious",86,201.32602171694413
Hydrops Fetalis,alpha-Thalassemia,55,128.75501388874335
Hydrops Fetalis,"Cystic Adenomatoid Malformation of Lung, Congenital",50,117.05001262613031
Hydrops Fetalis,Erythema Infectiosum,49,114.7090123736077
Hydrops Fetalis,"Tachycardia, Supraventricular",48,112.36801212108507
Hydrops Fetalis,"Abnormalities, Multiple",47,110.02701186856248
Hydrops Fetalis,Rh Isoimmunization,45,105.34501136351729
Hydrops Fetalis,Fetal Death,43,100.66301085847206
Hydrops Fetalis,Teratoma,41,95.98101035342684
Hydrops Fetalis,"Heart Defects, Congenital",40,93.64001010090423
Hydrops Fetalis,"Erythroblastosis, Fetal",37,86.61700934333643
Hydrops Fetalis,Anemia,34,79.59400858576859
Mouth Breathing,Mouth Breathing,314,1014.0189143081813
Mouth Breathing,Malocclusion,169,545.7617723505816
Mouth Breathing,Nasal Obstruction,57,184.07349718333228
Mouth Breathing,Airway Obstruction,56,180.8441375836247
Mouth Breathing,"Sleep Apnea, Obstructive",26,83.96334959239718
Mouth Breathing,"Malocclusion, Angle Class II",24,77.50463039298202
Mouth Breathing,Sleep Apnea Syndromes,24,77.50463039298202
Mouth Breathing,Asthma,22,71.04591119356685
Mouth Breathing,Nose Diseases,15,48.440393995613746
Mouth Breathing,Deglutition Disorders,13,41.98167479619859
Mouth Breathing,Gingivitis,11,35.522955596783426
Mouth Breathing,"Rhinitis, Allergic, Perennial",11,35.522955596783426
Mouth Breathing,Mouth Diseases,11,35.522955596783426
Mouth Breathing,Dental Caries,9,29.06423639736825
Mouth Breathing,Respiratory Insufficiency,7,22.605517197953088
Sweating Sickness,Disease,1,6.150128834788118
Sweating Sickness,Parkinson Disease,1,6.150128834788118
Sweating Sickness,Primary Dysautonomias,1,6.150128834788118
Sweating Sickness,Autonomic Nervous System Diseases,1,6.150128834788118
Sweating Sickness,Deglutition Disorders,1,6.150128834788118
Sweating Sickness,Tracheoesophageal Fistula,1,6.150128834788118
Sweating Sickness,Anthrax,1,6.150128834788118
Sweating Sickness,"Tuberculosis, Pulmonary",1,6.150128834788118
Sweating Sickness,"Tuberculosis, Lymph Node",1,6.150128834788118
Deaf-Blind Disorders,Deaf-Blind Disorders,16,100.28658992711205
Deaf-Blind Disorders,Perceptual Disorders,1,6.267911870444503
Deaf-Blind Disorders,Autistic Disorder,1,6.267911870444503
Deaf-Blind Disorders,Mental Retardation,1,6.267911870444503
Deaf-Blind Disorders,"Hearing Loss, Sudden",1,6.267911870444503
Deaf-Blind Disorders,"Hearing Loss, Sensorineural",1,6.267911870444503
Deaf-Blind Disorders,Brain Injuries,1,6.267911870444503
Deaf-Blind Disorders,"Optic Atrophy, Hereditary, Leber",1,6.267911870444503
"Hearing Loss, High-Frequency","Hearing Loss, High-Frequency",361,1121.123909340355
"Hearing Loss, High-Frequency","Hearing Loss, Sensorineural",141,437.8905019861222
"Hearing Loss, High-Frequency",Hearing Loss,139,431.6792891919928
"Hearing Loss, High-Frequency","Hearing Loss, Noise-Induced",72,223.60366058865813
"Hearing Loss, High-Frequency",Hearing Disorders,25,77.6401599266174
"Hearing Loss, High-Frequency",Tinnitus,25,77.6401599266174
"Hearing Loss, High-Frequency",Presbycusis,16,49.689702353035145
"Hearing Loss, High-Frequency",Deafness,12,37.26727676477636
"Hearing Loss, High-Frequency","Hearing Loss, Bilateral",10,31.056063970646964
"Hearing Loss, High-Frequency",Otitis Media,10,31.056063970646964
"Hearing Loss, High-Frequency","Hearing Loss, Conductive",10,31.056063970646964
"Hearing Loss, High-Frequency","Neuroma, Acoustic",8,24.844851176517572
"Hearing Loss, High-Frequency",Otitis Media with Effusion,7,21.73924477945287
"Hearing Loss, High-Frequency",Meniere Disease,6,18.633638382388177
"Hearing Loss, High-Frequency","Kidney Failure, Chronic",6,18.633638382388177
Fever of Unknown Origin,Neutropenia,155,228.33901208401187
Fever of Unknown Origin,Bacterial Infections,127,187.09067441722263
Fever of Unknown Origin,Infection,105,154.68126625045966
Fever of Unknown Origin,HIV Infections,59,86.91614008359161
Fever of Unknown Origin,"Still's Disease, Adult-Onset",49,72.18459091688116
Fever of Unknown Origin,Bacteremia,49,72.18459091688116
Fever of Unknown Origin,Sepsis,48,70.71143600021013
Fever of Unknown Origin,Opportunistic Infections,40,58.926196666841776
Fever of Unknown Origin,Malaria,37,54.50673191682864
Fever of Unknown Origin,Giant Cell Arteritis,36,53.03357700015759
Fever of Unknown Origin,Liver Diseases,36,53.03357700015759
Fever of Unknown Origin,"Endocarditis, Bacterial",36,53.03357700015759
Fever of Unknown Origin,Lymphoma,35,51.56042208348655
Fever of Unknown Origin,Granuloma,34,50.08726716681551
Fever of Unknown Origin,Agranulocytosis,33,48.614112250144466
Pseudobulbar Palsy,Pseudobulbar Palsy,60,249.46192020587483
Pseudobulbar Palsy,Amyotrophic Lateral Sclerosis,8,33.261589360783304
Pseudobulbar Palsy,Mood Disorders,5,20.788493350489567
Pseudobulbar Palsy,Motor Neuron Disease,5,20.788493350489567
Pseudobulbar Palsy,Deglutition Disorders,4,16.630794680391652
Pseudobulbar Palsy,Epilepsy,4,16.630794680391652
Pseudobulbar Palsy,Dysarthria,4,16.630794680391652
Pseudobulbar Palsy,Cerebral Infarction,4,16.630794680391652
Pseudobulbar Palsy,Nervous System Malformations,4,16.630794680391652
Pseudobulbar Palsy,Multiple Sclerosis,3,12.473096010293741
Pseudobulbar Palsy,Cognition Disorders,3,12.473096010293741
Pseudobulbar Palsy,Malformations of Cortical Development,3,12.473096010293741
Pseudobulbar Palsy,Voice Disorders,2,8.315397340195826
